sessionId,completedAt,bootSuccess,phaseOrder,failedPhase,cpuContribs,hddContribs,ramContribs,gpuContribs,phaseRewards,proStars,proStarBonus,totalContributors,durationSeconds
boot_1782960247956,,false,ram:gpu:hdd:cpu,,0,0,6,0,45:0:0:0,,0,6,0
boot_1782879086477,2026-07-01T04:49:08.936Z,false,gpu:hdd:cpu:ram,ram,7,5,0,8,45:65:90:0,,0,11,2262
boot_1782881559021,2026-07-01T05:31:15.386Z,false,cpu:hdd:ram:gpu,gpu,3,10,9,0,45:65:90:0,,0,13,2316
boot_1782884085590,2026-07-01T06:00:33.904Z,false,cpu:hdd:ram:gpu,ram,8,6,0,0,45:65:0:0,,0,10,1548
boot_1782885844130,2026-07-01T06:18:41.490Z,false,ram:cpu:gpu:hdd,cpu,0,0,4,0,45:0:0:0,,0,4,877
boot_1782887171707,2026-07-01T06:49:19.238Z,false,gpu:cpu:hdd:ram,hdd,5,0,0,3,45:65:0:0,,0,7,1387
boot_1782888769200,2026-07-01T06:59:19.525Z,false,gpu:hdd:ram:cpu,gpu,0,0,0,0,0:0:0:0,,0,0,390
boot_1782889429727,2026-07-01T07:10:20.216Z,false,hdd:ram:cpu:gpu,hdd,0,0,0,0,0:0:0:0,,0,0,390
boot_1782890090192,2026-07-01T07:30:01.657Z,false,gpu:ram:hdd:cpu,ram,0,0,0,5,45:0:0:0,,0,5,911
boot_1782891451656,2026-07-01T08:10:34.231Z,false,gpu:cpu:hdd:ram,ram,5,7,0,6,45:65:90:0,,0,9,1982
boot_1782893644206,2026-07-01T08:32:47.708Z,false,cpu:gpu:hdd:ram,gpu,8,0,0,0,45:0:0:0,,0,8,1123
boot_1782895217774,2026-07-01T09:02:37.218Z,false,hdd:gpu:cpu:ram,cpu,0,4,0,6,45:65:0:0,,0,6,1339
boot_1782896767241,2026-07-01T09:33:51.760Z,false,hdd:cpu:gpu:ram,gpu,8,7,0,0,45:65:0:0,,0,10,1664
boot_1782898641716,2026-07-01T09:59:26.092Z,false,hdd:cpu:gpu:ram,gpu,5,5,0,0,45:65:0:0,,0,7,1324
boot_1782900176255,2026-07-01T10:21:10.745Z,false,cpu:gpu:hdd:ram,gpu,7,0,0,0,45:0:0:0,,0,7,1094
boot_1782901720709,2026-07-01T10:54:28.116Z,false,gpu:cpu:hdd:ram,hdd,5,0,0,7,45:65:0:0,,0,9,1547
boot_1782903478207,2026-07-01T11:34:23.663Z,true,gpu:cpu:hdd:ram,,5,8,9,6,45:65:90:120,slay_da_b,500,13,2185
boot_1782905934065,2026-07-01T12:05:14.788Z,false,hdd:gpu:cpu:ram,cpu,0,5,0,9,45:65:0:0,,0,11,1581
boot_1782907724786,2026-07-01T12:41:23.157Z,false,cpu:gpu:hdd:ram,hdd,12,0,0,10,45:65:0:0,,0,15,1958
boot_1782909893325,2026-07-01T13:14:42.785Z,false,hdd:cpu:ram:gpu,ram,13,4,0,0,45:65:0:0,,0,14,1789
boot_1782911892873,2026-07-01T13:45:20.426Z,false,hdd:gpu:cpu:ram,cpu,0,10,0,7,45:65:0:0,,0,11,1627
boot_1782913730565,2026-07-01T14:22:25.879Z,false,gpu:cpu:ram:hdd,ram,11,0,0,12,45:65:0:0,,0,17,2015
