username,amount,reason,timestamp,date
alfims,8,Phase 1: GPU,1781084142513,2026-06-10
puphik,8,Phase 1: GPU,1781084142522,2026-06-10
pika_gamy,8,Phase 1: GPU,1781084142530,2026-06-10
ikaliayev,8,Phase 1: GPU,1781084142535,2026-06-10
xiaoxiao9313,8,Phase 1: GPU,1781084142537,2026-06-10
alfims,45,Phase 1: RAM,1781093462609,2026-06-10
pika_gamy,45,Phase 1: RAM,1781093462621,2026-06-10
xiaoxiao9313,45,Phase 1: RAM,1781093462629,2026-06-10
zoskycube,45,Phase 1: RAM,1781093462638,2026-06-10
silent_luc,45,Phase 1: RAM,1781093462643,2026-06-10
whitepai,45,Phase 1: RAM,1781093462654,2026-06-10
alfims,65,Phase 2: HDD,1781093717035,2026-06-10
xiaoxiao9313,65,Phase 2: HDD,1781093717059,2026-06-10
zoskycube,65,Phase 2: HDD,1781093717065,2026-06-10
silent_luc,65,Phase 2: HDD,1781093717075,2026-06-10
snoopys030,65,Phase 2: HDD,1781093717078,2026-06-10
alexwifi42,65,Phase 2: HDD,1781093717089,2026-06-10
alphonsoe,65,Phase 2: HDD,1781093717094,2026-06-10
pika_gamy,65,Phase 2: HDD,1781093717098,2026-06-10
ragnar175,45,Phase 1: RAM,1781094751919,2026-06-10
pika_gamy,45,Phase 1: RAM,1781094751926,2026-06-10
alphonsoe,45,Phase 1: RAM,1781094751930,2026-06-10
shadowladyex,45,Phase 1: RAM,1781094751939,2026-06-10
silent_luc,45,Phase 1: RAM,1781094751941,2026-06-10
xiaoxiao9313,45,Phase 1: RAM,1781094751947,2026-06-10
shadowladyex,65,Phase 2: GPU,1781095302965,2026-06-10
silent_luc,65,Phase 2: GPU,1781095302977,2026-06-10
ragnar175,65,Phase 2: GPU,1781095302993,2026-06-10
alexwifi42,65,Phase 2: GPU,1781095302996,2026-06-10
zoskycube,65,Phase 2: GPU,1781095302999,2026-06-10
snoopys030,65,Phase 2: GPU,1781095303001,2026-06-10
alphonsoe,65,Phase 2: GPU,1781095303011,2026-06-10
pika_gamy,65,Phase 2: GPU,1781095303020,2026-06-10
xiaoxiao9313,65,Phase 2: GPU,1781095303022,2026-06-10
alphonsoe,45,Phase 1: GPU,1781096231653,2026-06-10
shadowladyex,45,Phase 1: GPU,1781096231657,2026-06-10
ragnar175,45,Phase 1: GPU,1781096231664,2026-06-10
pika_gamy,45,Phase 1: GPU,1781096231670,2026-06-10
zoskycube,45,Phase 1: GPU,1781096231677,2026-06-10
xiaoxiao9313,45,Phase 1: GPU,1781096231679,2026-06-10
pika_gamy,65,Phase 2: CPU,1781096646991,2026-06-10
snoopys030,65,Phase 2: CPU,1781096646998,2026-06-10
ragnar175,65,Phase 2: CPU,1781096647006,2026-06-10
shadowladyex,65,Phase 2: CPU,1781096647013,2026-06-10
yurigiu,65,Phase 2: CPU,1781096647016,2026-06-10
xiaoxiao9313,65,Phase 2: CPU,1781096647027,2026-06-10
alphonsoe,65,Phase 2: CPU,1781096647032,2026-06-10
silent_luc,65,Phase 2: CPU,1781096647119,2026-06-10
xiaoxiao9313,45,Phase 1: CPU,1781097571489,2026-06-10
zoskycube,45,Phase 1: CPU,1781097571492,2026-06-10
silent_luc,45,Phase 1: CPU,1781097571494,2026-06-10
snoopys030,45,Phase 1: CPU,1781097571498,2026-06-10
pika_gamy,45,Phase 1: CPU,1781097571500,2026-06-10
robin3one,45,Phase 1: CPU,1781097571504,2026-06-10
zoskycube,65,Phase 2: GPU,1781098110956,2026-06-10
alfims,65,Phase 2: GPU,1781098110963,2026-06-10
robin3one,65,Phase 2: GPU,1781098110965,2026-06-10
alphonsoe,65,Phase 2: GPU,1781098110975,2026-06-10
snoopys030,65,Phase 2: GPU,1781098110978,2026-06-10
xiaoxiao9313,65,Phase 2: GPU,1781098110981,2026-06-10
silent_luc,65,Phase 2: GPU,1781098111002,2026-06-10
pika_gamy,65,Phase 2: GPU,1781098111065,2026-06-10
alphonsoe,45,Phase 1: GPU,1781098920680,2026-06-10
pika_gamy,45,Phase 1: GPU,1781098920712,2026-06-10
yurigiu,45,Phase 1: GPU,1781098920721,2026-06-10
shadowladyex,45,Phase 1: GPU,1781098920829,2026-06-10
xiaoxiao9313,45,Phase 1: GPU,1781098920831,2026-06-10
robin3one,45,Phase 1: GPU,1781098920833,2026-06-10
alphonsoe,45,Phase 1: GPU,1781100474630,2026-06-10
snoopys030,45,Phase 1: GPU,1781100474642,2026-06-10
alexwifi42,45,Phase 1: GPU,1781100474655,2026-06-10
pika_gamy,45,Phase 1: GPU,1781100474659,2026-06-10
silent_luc,45,Phase 1: GPU,1781100474663,2026-06-10
xiaoxiao9313,45,Phase 1: GPU,1781100474743,2026-06-10
silent_luc,45,Phase 1: CPU,1781109562170,2026-06-10
robin3one,45,Phase 1: CPU,1781109562225,2026-06-10
cerebralx1,45,Phase 1: CPU,1781109562238,2026-06-10
alfims,45,Phase 1: CPU,1781109562258,2026-06-10
dahhel,45,Phase 1: CPU,1781109562269,2026-06-10
pika_gamy,45,Phase 1: CPU,1781109562271,2026-06-10
thanossoul,45,Phase 1: CPU,1781109562277,2026-06-10
silent_luc,45,Phase 1: GPU,1781118806260,2026-06-10
dahhel,45,Phase 1: GPU,1781118806277,2026-06-10
zoskycube,45,Phase 1: GPU,1781118806280,2026-06-10
alfims,45,Phase 1: GPU,1781118806286,2026-06-10
valase,45,Phase 1: GPU,1781118806292,2026-06-10
cerebralx1,45,Phase 1: GPU,1781118806298,2026-06-10
zoskycube,65,Phase 2: CPU,1781119307095,2026-06-10
lemonhandsink,65,Phase 2: CPU,1781119307098,2026-06-10
dahhel,65,Phase 2: CPU,1781119307104,2026-06-10
cerebralx1,65,Phase 2: CPU,1781119307110,2026-06-10
robin3one,65,Phase 2: CPU,1781119307117,2026-06-10
valase,65,Phase 2: CPU,1781119307134,2026-06-10
